##mypackages = installed.packages()
##mypackages = mypackages %>% as.tibble() %>% select(Package, Version, Depends)

Package,Version,Depends
abind,1.4-5,R (>= 1.5.0)
acepack,1.4.1,NA
actuar,2.3-1,R (>= 3.3.0)
adehabitatMA,0.3.12,"R (>= 2.10.0), sp, methods"
akima,0.6-2,R (>= 2.0.0)
animation,2.5,R (>= 2.14.0)
anomaly,1.1.0,R (>= 2.10)
anytime,0.3.1,R (>= 3.2.0)
aRxiv,0.5.16,R (>= 3.0.0)
ascii,2.1,"R (>= 2.13), utils, methods"
assertthat,0.2.0,NA
backports,1.1.2,R (>= 3.0.0)
bartMachine,1.2.4.2,"R (>= 2.14.0), rJava (>= 0.9-8), bartMachineJARs (>= 1.0),
car, randomForest, missForest"
bartMachineJARs,1.1,"R (>= 2.14.0), rJava (>= 0.9-8)"
base64enc,0.1-3,R (>= 2.9.0)
BatchJobs,1.7,"R (>= 3.0.0), BBmisc (>= 1.9), methods"
bayesm,3.1-0.1,R (>= 3.2.0)
bayesplot,1.6.0,R (>= 3.1.0)
BayesXsrc,3.0-1,R (>= 2.8.0)
BB,2014.10-1,R (>= 2.6.1)
BBmisc,1.11,NA
bdsmatrix,1.3-3,"methods, R (>= 2.0.0)"
beginr,0.1.3,R (>= 3.1.0)
betareg,3.1-1,R (>= 3.0.0)
BH,1.66.0-1,NA
BiasedUrn,1.07,NA
bibtex,0.4.2,R (>= 3.0.2)
binda,1.0.3,"R (>= 3.0.2), entropy (>= 1.2.1)"
bindr,0.1.1,NA
bindrcpp,0.2.2,NA
binr,1.1,"R (>= 2.15),"
bit,1.1-14,R (>= 2.9.2)
bit64,0.9-7,"R (>= 3.0.1), bit (>= 1.1-12), utils, methods, stats"
bitops,1.0-6,NA
blob,1.1.1,NA
blogdown,0.8.1,NA
BMA,3.18.9,"survival, leaps, robustbase, inline, rrcov"
bmp,0.3,NA
bookdown,0.7,NA
brew,1.0-6,NA
brnn,0.7,"R (>= 3.1.2), Formula"
broom,0.5.0,R (>= 3.1)
bst,0.3-15,gbm
btergm,1.9.3,"R (>= 2.14.0), xergm.common (>= 1.7.7), ggplot2 (>= 2.0.0)"
ca,0.70,R (>= 3.0.0)
Cairo,1.5-9,R (>= 2.4.0)
callr,3.0.0,NA
candisc,0.8-0,"car, heplots (>= 0.8-6), graphics, stats"
captioner,2.2.3,NA
car,3.0-2,"R (>= 3.2.0), carData (>= 3.0-0)"
carData,3.0-1,R (>= 3.0)
care,1.1.10,"R (>= 3.0.2), corpcor (>= 1.6.8)"
caret,6.0-80,"R (>= 2.10), lattice (>= 0.20), ggplot2"
caTools,1.17.1.1,R (>= 2.2.0)
cellranger,1.1.0,R (>= 3.0.0)
changepoint,2.2.2,"R(>= 3.1), methods, stats, zoo(>= 0.9-1)"
checkmate,1.8.5,R (>= 3.0.0)
citr,0.2.0,R (>= 3.0.0)
classInt,0.2-3,"R (>= 2.2), spData (>= 0.2.6.2)"
cli,1.0.1,R (>= 2.10)
clipr,0.4.1,NA
clubSandwich,0.3.2,R (>= 3.0.0)
clue,0.3-56,R (>= 3.2.0)
clusterSEs,2.5,"R (>= 3.3.0), AER, Formula, plm, stats"
clValid,0.6-6,"R (>= 2.0), cluster"
cmaes,1.0-11,R (>= 2.9.0)
cmaesr,1.0.3,"ParamHelpers (>= 1.8), BBmisc (>= 1.6), checkmate (>= 1.1),
smoof (>= 1.4)"
coda,0.19-1,R (>= 2.14.0)
colorRamps,2.3,NA
colorspace,1.3-2,"R (>= 2.13.0), methods"
commonmark,1.5,NA
compositions,1.40-2,"R (>= 2.2.0), tensorA, robustbase, energy, bayesm"
CompQuadForm,1.4.3,NA
conf.design,2.0.0,NA
corpcor,1.6.9,R (>= 3.0.2)
corrgram,1.13,NA
covr,3.2.0,"R (>= 3.1.0), methods"
cowplot,0.9.3,"R (>= 3.3.0), ggplot2 (>= 2.1.0),"
cranlogs,2.1.0,NA
crayon,1.3.4,NA
crminer,0.1.4,NA
crosstalk,1.0.0,NA
crossval,1.0.3,R (>= 3.0.2)
crs,0.15-31,NA
crul,0.6.0,NA
curl,3.2,R (>= 3.0.0)
CVST,0.2-2,"kernlab,Matrix"
d3heatmap,0.6.1.2,NA
data.table,1.11.6,R (>= 3.1.0)
data.tree,0.7.8,R (>= 3.0)
date,1.2-38,NA
DBI,1.0.0,"R (>= 3.0.0), methods"
dbplyr,1.2.2,R (>= 3.2)
ddalpha,1.3.4,"R (>= 2.10), stats, utils, graphics, grDevices, MASS, class,
robustbase, sfsmisc, geometry"
debugme,1.1.0,NA
deepnet,0.2,NA
deldir,0.1-15,R (>= 0.99)
dendextend,1.8.0,R (>= 3.0.0)
DEoptimR,1.0-8,NA
desc,1.2.0,R (>= 3.1.0)
DescTools,0.99.25,"base, stats, R (>= 3.3.0)"
deSolve,1.21,R (>= 2.15.0)
devtools,1.13.6,R (>= 3.0.2)
dfoptim,2018.2-1,R (>= 2.10.1)
dggridR,2.0.3,"R (>= 3.4.0), rgdal (>= 1.1), ggplot2 (>= 2.1), dplyr (>=
0.4), sp (>= 1.2)"
DiagrammeR,1.0.0,R (>= 3.2.0)
DiceKriging,1.5.6,methods
DiceOptim,2.0,"DiceKriging (>= 1.2), methods"
dichromat,2.0-0,"R (>= 2.10), stats"
digest,0.6.17,R (>= 3.1.0)
digitize,0.0.4,R (>= 2.2.0)
dimRed,0.1.0,"R (>= 3.0.0), methods, DRR"
diptest,0.75-7,NA
directlabels,2018.05.22,NA
DiscriMiner,0.1-29,R (>= 2.15.0)
